Marker;Loglikelihood;AverageProb;Beta_0;NumError;
M1-E32/T38_3a;-129.5449745083886523289;0.02216748768472906403864;-3.786711703350971030277;0;
M2-E32/T38_4;-158.612026660314694243;0.02883031301482701812157;-3.517073839047957247274;0;
M3-E32/T38_4a;-347.645211464066701712;0.9166666666666666666847;2.397895272798370544087;0;
M4-E32/T38_5;-279.0969708534113082887;0.9393442622950819672115;2.739967804070515119833;0;
M5-E32/T38_5b;-151.7376600582092078251;0.02700490998363338788886;-3.584360335224301595579;0;
M6-E32/T38_5c;-21.02275103049812310374;0.9975429975429975430041;6.006353159601732641729;0;
M7-E32/T38_6;-740.9247675694804941005;0.2987654320987654321077;-0.8531836925644649520257;0;
M8-E32/T38_7;-597.725600517290094893;0.1945589447650453421203;-1.420654847017172670975;0;
M9-E32/T38_8;-740.7988441177831560602;0.7054009819967266775934;0.8731512392135374115679;0;
M10-E32/T38_9;-785.6686806128490255796;0.366220735785953177251;-0.5484644752659255273366;0;
M11-E32/T38_10;-358.0536924251055073132;0.9140752864157119476495;2.364441448911677337444;0;
M12-E32/T38_11;-338.7967698687789490641;0.920621931260229132575;2.45082733613513768442;0;
M13-E32/T38_11a;-182.833948181582859896;0.03436988543371522095038;-3.33560009917634213818;0;
M14-E32/T38_11b;-37.87430166593590952911;0.004918032786885245901609;-5.309916502391388570814;0;
M15-E32/T38_12;-422.0974935116886317399;0.1100164203612479474576;-2.090573382048680149779;0;
M16-E32/T38_13;-343.6761674173465581639;0.9189852700490998363165;2.428639104603853253591;0;
M17-E32/T38_14;-97.96381783024159517481;0.9844517184942716857342;4.148134736808238417095;0;
M18-E32/T38_15;-424.6529673620000123746;0.1104746317512274959093;-2.08590210868277999446;0;
M19-E32/T38_17;-133.4058454876953518919;0.9770867430441898527065;3.752859783777343472217;0;
M20-E32/T38_17a;0;1;0;5;
M21-E32/T38_19;-189.4565718183544474201;0.03600654664484451718514;-3.287383730293270852479;0;
M22-E32/T38_20a;-14.82855636351402628392;0.9983633387888707037415;6.413458957167356932778;0;
M23-E32/T38_21;-328.9027259637214329613;0.07610474631751227496228;-2.496488070996406079911;0;
M24-E32/T38_21b;-53.16595200678386968704;0.007364975450081833060674;-4.903627331607830748192;0;
M25-E32/T38_22;-151.7376600582092078251;0.02700490998363338788886;-3.584360335224301595579;0;
M26-E32/T38_22a;-71.98273702050004597963;0.01064701064701064701032;-4.531772021033223521273;0;
M27-E43/T33_1;-841.5118276843066756343;0.4525368248772504091546;-0.1904260586058936507254;0;
M28-E43/T33_2;-259.6666887386904545854;0.05482815057283142389679;-2.847163003564927855537;0;
