Marker Loglikelihood AverageProb Beta_0 NumError 
M0 -105.3876470190296888718 0.02233502538071065989916 -3.779010958439809702647 0 
M1 -134.2817649455455005364 0.03045685279187817258807 -3.460513958818574872106 0 
M2 -305.6816507432821908852 0.9065989847715736040445 2.272798003827458737224 0 
M3 -200.6579159798279259341 0.9482233502538071066076 2.90765080550451684928 0 
M4 0 0 0 5 
M5 -587.981476684468257643 0.2842639593908629441711 -0.9234081996430190448664 0 
M6 -523.1489434796880940715 0.223350253807106598978 -1.24624828747417430014 0 
M7 -563.3073026151300072839 0.7411167512690355329836 1.05178098898401066691 0 
M8 -644.9851179171476290852 0.3624365482233502538012 -0.5648043846885595995616 0 
M9 -289.4713727609509736904 0.9137055837563451776793 2.359743506833994295931 0 
M10 -289.4713727609509736904 0.9137055837563451776793 2.359743506833994295931 0 
M11 -93.83141210105279458875 0.01928934010152284264018 -3.928724855046077536714 0 
M12 -354.995727658426210388 0.116751269035532994924 -2.023561083285379337158 0 
M13 -182.8251217666365535663 0.9543147208121827411052 3.039217385493729822873 0 
M14 -89.875379809040970569 0.9817258883248730964529 3.983826737557129633654 0 
M15 -344.7532757544291377727 0.111675126903553299489 -2.073743520565198200862 0 
M16 -231.467901235579330485 0.06294416243654822335217 -2.700494849457760601933 0 
M17 -97.7337532913063091744 0.979695431472081218287 3.876395827784994933081 0 
M18 -284.7259490109033815974 0.08426395939086294416162 -2.385773912266025733849 0 
M19 -123.7402498763062615034 0.02741116751269035533079 -3.569010911966531470396 0 
M20 -359.0232578579861348056 0.1187817258883248730967 -2.004017779862594051061 0 
M21 -7.89213385509017939512 0.9989847715736040609171 6.891625897052253423535 0 
M22 -265.2058224843691552342 0.07614213197969543147101 -2.495956485974585284523 0 
M23 -97.73375329130630927849 0.02030456852791878172651 -3.876395827784994933081 0 
M24 -682.4326798975212620135 0.4873096446700507614091 -0.05077232537342321240598 0 
M25 -206.4323618492741073543 0.05380710659898477157524 -2.867040901133469350077 0 
M26 -399.0705196325232296806 0.8598984771573604060668 1.814447009494849701668 0 
M27 -448.3336585398623541643 0.8304568527918781726074 1.588868524185991947819 0 
M28 -553.6252951344251870269 0.7502538071065989847843 1.099966385015838969512 0 
M29 -682.7494652372457330514 0.5005076142131979695686 0.002030457550381993334607 0 
M30 -543.5043355805724793472 0.7593908629441624365307 1.149342836839346057576 0 
M31 -432.0785332838281578294 0.8406091370558375634368 1.662767349036951634975 0 
M32 -627.4275390053777843868 0.6659898477157360406294 0.6901030381787171496502 0 
M33 -112.8553176057057686604 0.02436548223350253807181 -3.689920578622346872223 0 
M34 -681.9776897775952687608 0.4802030456852791878285 -0.07922923654757481721843 0 
M35 -73.45021322901743877215 0.01421319796954314720771 -4.239269138676066296829 0 
M36 -557.981970167510982872 0.7461928934010152284525 1.07840958135059024304 0 
M37 -69.17383297196078895119 0.01319796954314720812223 -4.314406446998902339759 0 
M38 -528.0873156062356998386 0.2274111675126903553233 -1.222987306006645984147 0 
M39 -60.3805588058962846229 0.01116751269035532994958 -4.483516030844164556267 0 
M40 -265.2058224843691552342 0.07614213197969543147101 -2.495956485974585284523 0 
M41 -179.7741783122618206142 0.04467005076142131979832 -3.062753505667118472016 0 
M42 -97.73375329130630927849 0.02030456852791878172651 -3.876395827784994933081 0 
M43 -680.9819096378437603967 0.4700507614213197969449 -0.1199405337964046453352 0 
M44 -141.1354644824616857424 0.9675126903553299492376 3.393879000854475565339 0 
M45 -20.3775148844177169602 0.003045685279187817258976 -5.790979019686356196912 0 
M46 -242.1348571358870636061 0.06700507614213197969747 -2.633631380329261504692 0 
M47 -247.3699405433540258192 0.06903553299492385787013 -2.601599767080358150155 0 
M48 -64.81942479006861887458 0.0121827411167512690359 -4.395477432398004752259 0 
M49 -46.4730251752701233707 0.008121827411167512690603 -4.805045110362946812321 0 
M50 -109.1437480477274619695 0.9766497461928934010382 3.7335202347365567992 0 
M51 -329.9815373688651350959 0.1045685279187817258881 -2.147463067777155531742 0 
M52 -194.8007359640606881435 0.04974619289340101522994 -2.94979517836696543691 0 
M53 -77.6540741854687462456 0.01522842639593908629403 -4.169245870395218440084 0 
M54 -592.5363656475588770012 0.7106598984771573603871 0.8985911547747541471519 0 
M55 -282.3335725433009586183 0.08324873096446700507868 -2.399003306152732306698 0 
M56 -291.8247010867192576256 0.08730964467005076142398 -2.346935738218112540206 0 
M57 -471.3739642072811708295 0.1847715736040609137044 -1.484348026869966322584 0 
M58 -314.6781478017340992759 0.09746192893401015228724 -2.225749044046068339736 0 
M59 -89.87537980904097066615 0.01827411167512690355386 -3.983826737557129633654 0 
M60 -319.1067043361944920721 0.09949238578680203045989 -2.202877503639007570864 0 
M61 -176.699442928750363041 0.04365482233502538071199 -3.086805158882800634778 0 
M62 -7.89213385509017939512 0.9989847715736040609171 6.891625897052253423535 0 
M63 -85.86272922182532307822 0.9827411167512690355359 4.042018743220360935987 0 
M64 -550.3009473925579803089 0.2467005076142131979669 -1.116287799826831991725 0 
M65 -378.5899392135948194338 0.1289340101522842639532 -1.910417013029371007915 0 
M66 -112.8553176057057687576 0.9756345177664974619553 3.689920578622346872223 0 
M67 -294.1652888961835214388 0.08832487309644670050692 -2.334261949647615884147 0 
M68 -97.7337532913063091744 0.979695431472081218287 3.876395827784994933081 0 
M69 -14.3969570887229369148 0.002030456852791878172651 -6.197461939587221242502 0 
M70 -406.2614287795643745471 0.1441624365482233502514 -1.781139900400594725774 0 
M71 -7.892133855090179421574 0.001015228426395939086325 -6.891625897052253423535 0 
M72 -89.87537980904097066615 0.01827411167512690355386 -3.983826737557129633654 0 
M73 -81.79018807651856959318 0.9837563451776649746188 4.103675889650984994015 0 
M74 -580.4336017666032748186 0.2761421319796954314805 -0.9636793541182986187884 0 
M75 -69.17383297196078895119 0.01319796954314720812223 -4.314406446998902339759 0 
M76 -26.01725627640680109549 0.004060913705583756345301 -5.502278098445472464574 0 
M77 -14.3969570887229369148 0.002030456852791878172651 -6.197461939587221242502 0 
M78 -457.7382944951092940411 0.1756345177664974619309 -1.546208745663899004202 0 
M79 -537.6878297946037745803 0.2355329949238578680139 -1.177327856133583622203 0 
M80 -69.17383297196078895119 0.01319796954314720812223 -4.314406446998902339759 0 
M81 -60.3805588058962846229 0.01116751269035532994958 -4.483516030844164556267 0 
M82 -116.5241678493958838031 0.02538071065989847715813 -3.648057459593681173433 0 
M83 -51.21751101930330696277 0.9908629441624365481994 4.686238009076873103735 0 
M84 -678.9028296242855049503 0.4558375634517766497567 -0.1771112733285476946671 0 
M85 -20.3775148844177169602 0.003045685279187817258976 -5.790979019686356196912 0 
M86 -682.7250995457310958625 0.5035532994923857868174 0.01421343725005545818316 0 
M87 -418.5304964298235793629 0.8487309644670050761545 1.724682307139242481964 0 
M88 -7.892133855090179421574 0.001015228426395939086325 -6.891625897052253423535 0 
M89 -89.87537980904097066615 0.01827411167512690355386 -3.983826737557129633654 0 
M90 -354.995727658426210388 0.116751269035532994924 -2.023561083285379337158 0 
M91 -408.0384624353017029852 0.1451776649746192893344 -1.772935383982419446842 0 
M92 -402.6826272723930459918 0.8578680203045685279009 1.797694204747869548217 0 
M93 -675.7848089116759562889 0.5593908629441624365416 0.2386902750525096267276 0 
M94 -451.4970200817968118134 0.1715736040609137055856 -1.574515640041033537203 0 
M95 -546.9274322596577960209 0.7563451776649746192819 1.132745295037568212019 0 
M96 -667.121454322889484434 0.5888324873096446700552 0.3591410364339258804182 0 
M97 -20.3775148844177169602 0.003045685279187817258976 -5.790979019686356196912 0 
M98 -105.3876470190296890106 0.9776649746192893401212 3.779010958439809702647 0 
M99 -231.4679012355793306099 0.9370558375634517766411 2.700494849457760601933 0 
M100 -679.7372553642660426565 0.5390862944162436548286 0.156664823200590848994 0 
