short_name pop1 pop2 longitude latitude num bio3 prec7 tmax10
B10-0235 -0.046573448 0.00146272 29.98299 -1.41958 1 89 11 236
B9-0245 -0.05553795 0.019708857 30.00819 -0.91676 2 90 27 262
C10-0212 -0.041624057 0.011328934 30.22658 -1.22172 3 89 14 254
C6-0730 0.004162784 -0.228589268 30.23459 0.86187 4 85 95 286
C6-0731 0.002504189 -0.198358127 30.23459 0.86187 5 85 95 286
C6-0732 -0.000143707 -0.250649792 30.23459 0.86187 6 85 95 286
C9-0005 -0.053694185 -0.007767659 30.515217 -0.527 7 86 35 262
C9-0147 -0.049132294 0.01332009 30.62749 -0.5269 8 86 28 262
D6-0701 -0.05391324 0.022217181 31.30129 0.97391 9 81 74 272
D6-0706 0.012583462 -0.182736871 31.23101 1.00349 10 81 74 275
E3-0350 0.028393876 0.006615804 31.73258 3.14143 11 72 123 286
E3-0353 0.028481217 0.004018349 31.73258 3.14143 12 72 123 286
E3-0357 0.024930031 0.010567285 31.7562 3.16741 13 73 126 290
E5-0677 -0.064564048 -0.069299596 31.79751 1.66295 14 81 91 287
E5-0678 -0.007649132 0.009032402 31.79751 1.66295 15 81 91 287
E5-0679 -0.041871125 0.015248765 31.79751 1.66295 16 81 91 287
E5-0681 -0.0364039 0.004386185 31.70617 1.65583 17 81 100 284
E5-0684 -0.037981953 -0.027375458 31.70617 1.65583 18 81 100 284
E5-0685 -0.022509779 -0.005989006 31.70617 1.65583 19 81 100 284
E6-0724 0.013561247 -0.160924744 31.74691 0.80434 20 81 68 278
E7-0772 -0.044445424 0.007916634 31.90779 0.39083 21 83 47 273
E7-0780 -0.037589929 -0.026111344 31.89656 0.37013 22 82 47 273
E7-0781 -0.029293132 0.012971 31.89656 0.37013 23 82 47 273
E7-0782 -0.051978328 0.01887962 31.89656 0.37013 24 82 47 273
E7-0785 -0.050251269 0.01253843 31.89656 0.37013 25 82 47 273
E8-0204 -0.022486636 -0.005561845 31.55935 -0.14461 26 81 24 271
F3-0506 0.010134697 0.013751447 32.3544 2.84837 27 77 165 291
F3-0508 0.03442907 0.009499218 32.3544 2.84837 28 77 165 291
F3-0519 0.038684468 0.015345028 32.40484 2.69135 29 77 158 289
F3-0524 0.029866771 0.005411258 32.41719 2.69807 30 76 158 290
F4-0599 0.022676046 0.006622115 32.45656 2.02553 31 79 94 291
F4-0603 0.036199232 0.004933126 32.4485 2.04715 32 79 94 291
F4-0604 0.029241614 0.003726889 32.4485 2.04715 33 79 94 291
F4-0605 0.029353825 0.004467904 32.4485 2.04715 34 79 94 291
F5-0659 -0.024535914 0.004781089 32.09648 1.39733 35 81 77 287
G2-0437 0.025469104 0.009612478 33.05016 3.47267 36 76 152 302
G2-0443 0.030926069 0.002985364 33.06202 3.49713 37 77 150 303
G2-0445 0.019868303 0.003125828 33.06202 3.49713 38 77 150 303
G2-0446 -0.0189058 0.017431126 32.94359 3.35815 39 76 157 309
G3-0490 -0.050650744 0.015861371 33.07119 3.0387 40 77 173 299
G3-0495 0.036404348 0.002863733 33.07119 3.0387 41 77 173 299
G3-0502 0.033811887 0.007930222 33.06567 2.98782 42 76 172 301
G3-0503 0.030789237 0.006635416 33.06567 2.98782 43 76 172 301
G6-0562 0.015607977 -0.051629781 32.76132 1.18822 44 82 71 291
G7-0049 0.004269292 0.015708539 33.12106 0.61905 45 84 74 282
G7-0050 0.011764701 -0.002872513 33.12106 0.61905 46 84 74 282
