short_name longitude latitude num bio3 prec7 tmax10 pop1 pop2
B10-0235 29.98299 -1.41958 1 89 11 236 -0.046573448 0.00146272
B9-0245 30.00819 -0.91676 2 90 27 262 -0.05553795 0.019708857
C10-0212 30.22658 -1.22172 3 89 14 254 -0.041624057 0.011328934
C6-0730 30.23459 0.86187 4 85 95 286 0.004162784 -0.228589268
C6-0731 30.23459 0.86187 5 85 95 286 0.002504189 -0.198358127
C6-0732 30.23459 0.86187 6 85 95 286 -0.000143707 -0.250649792
C9-0005 30.515217 -0.527 7 86 35 262 -0.053694185 -0.007767659
C9-0147 30.62749 -0.5269 8 86 28 262 -0.049132294 0.01332009
D6-0701 31.30129 0.97391 9 81 74 272 -0.05391324 0.022217181
D6-0706 31.23101 1.00349 10 81 74 275 0.012583462 -0.182736871
E3-0350 31.73258 3.14143 11 72 123 286 0.028393876 0.006615804
E3-0353 31.73258 3.14143 12 72 123 286 0.028481217 0.004018349
E3-0357 31.7562 3.16741 13 73 126 290 0.024930031 0.010567285
E5-0677 31.79751 1.66295 14 81 91 287 -0.064564048 -0.069299596
E5-0678 31.79751 1.66295 15 81 91 287 -0.007649132 0.009032402
E5-0679 31.79751 1.66295 16 81 91 287 -0.041871125 0.015248765
E5-0681 31.70617 1.65583 17 81 100 284 -0.0364039 0.004386185
E5-0684 31.70617 1.65583 18 81 100 284 -0.037981953 -0.027375458
E5-0685 31.70617 1.65583 19 81 100 284 -0.022509779 -0.005989006
E6-0724 31.74691 0.80434 20 81 68 278 0.013561247 -0.160924744
E7-0772 31.90779 0.39083 21 83 47 273 -0.044445424 0.007916634
E7-0780 31.89656 0.37013 22 82 47 273 -0.037589929 -0.026111344
E7-0781 31.89656 0.37013 23 82 47 273 -0.029293132 0.012971
E7-0782 31.89656 0.37013 24 82 47 273 -0.051978328 0.01887962
E7-0785 31.89656 0.37013 25 82 47 273 -0.050251269 0.01253843
E8-0204 31.55935 -0.14461 26 81 24 271 -0.022486636 -0.005561845
F3-0506 32.3544 2.84837 27 77 165 291 0.010134697 0.013751447
F3-0508 32.3544 2.84837 28 77 165 291 0.03442907 0.009499218
F3-0519 32.40484 2.69135 29 77 158 289 0.038684468 0.015345028
F3-0524 32.41719 2.69807 30 76 158 290 0.029866771 0.005411258
F4-0599 32.45656 2.02553 31 79 94 291 0.022676046 0.006622115
F4-0603 32.4485 2.04715 32 79 94 291 0.036199232 0.004933126
F4-0604 32.4485 2.04715 33 79 94 291 0.029241614 0.003726889
F4-0605 32.4485 2.04715 34 79 94 291 0.029353825 0.004467904
F5-0659 32.09648 1.39733 35 81 77 287 -0.024535914 0.004781089
G2-0437 33.05016 3.47267 36 76 152 302 0.025469104 0.009612478
G2-0443 33.06202 3.49713 37 77 150 303 0.030926069 0.002985364
G2-0445 33.06202 3.49713 38 77 150 303 0.019868303 0.003125828
G2-0446 32.94359 3.35815 39 76 157 309 -0.0189058 0.017431126
G3-0490 33.07119 3.0387 40 77 173 299 -0.050650744 0.015861371
G3-0495 33.07119 3.0387 41 77 173 299 0.036404348 0.002863733
G3-0502 33.06567 2.98782 42 76 172 301 0.033811887 0.007930222
G3-0503 33.06567 2.98782 43 76 172 301 0.030789237 0.006635416
G6-0562 32.76132 1.18822 44 82 71 291 0.015607977 -0.051629781
G7-0049 33.12106 0.61905 45 84 74 282 0.004269292 0.015708539
G7-0050 33.12106 0.61905 46 84 74 282 0.011764701 -0.002872513
H2-0419 33.46838 3.40943 47 77 138 297 -0.049700484 -0.022096836
H2-0423 33.48622 3.55361 48 76 126 296 0.03124081 0.016006463
H2-0424 33.48622 3.55361 49 76 126 296 0.029695693 -0.000869467
H2-0426 33.48641 3.35978 50 77 140 299 0.037601999 0.008591498
H2-0428 33.48641 3.35978 51 77 140 299 -0.01438591 0.007854533
H3-0453 33.656794 2.70009 52 79 154 298 0.045684583 0.007094687
H3-0455 33.75225 2.82619 53 79 149 298 0.038483961 0.00907301
H3-0456 33.75225 2.82619 54 79 149 298 0.033660016 0.011428383
H3-0457 33.75225 2.82619 55 79 149 298 0.041741279 0.002106684
H3-0458 33.73854 2.81939 56 80 150 298 0.039076957 0.003115722
H3-0459 33.73854 2.81939 57 80 150 298 0.034512762 0.009871565
