P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50 P51 P52 P53 P54 P55 P56 P57 P58 P59 P60 P61 P62 P63 P64 P65 P66 P67 P68 P69 P70 P71 P72 P73 P74 P75 P76 P77 P78 P79 P80 P81 P82 P83 P84 P85 P86 P87 P88 P89 P90 P91 P92 P93 P94 P95 P96 P97 P98 P99 P100 P101 P102 P103 P104 P105 P106 P107 P108 P109 P110 P111 P112 P113 P114 P115 P116 P117 P118 M1 M2 M3 M4 M5 M6 M7 M8 M9 M10 M11 M12 M13 M14 M15 M16 M17 M18 M19 M20 M21 M22 M23 M24 M25 M26 M27 M28 M29 M30 M31 M32 M33 M34 M35 M36 M37 M38 M39 M40 M41 M42 M43 M44 M45 M46 M47 M48 M49 M50 M51 M52 M53 M54 M55 M56 M57 M58 M59 M60 M61 M62 M63 M64 M65 M66 M67 M68 M69 M70 M71 M72 M73 M74 M75 M76 M77 M78 M79 M80 M81 M82 M83 M84 M85 M86 M87 M88 M89 M90 M91 M92 M93 M94 M95 M96 M97 M98 M99 M100 M101 M102
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 0 0 1 1 0 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
472.8 2 2.2 2.3 2.2 2 1.9 1.9 1.8 1.6 1.8 1.9 2 1.97 8.1 8.5 9.4 10.3 11.8 12.8 14.1 14 12.7 10.9 9.2 8 10.82 18.8 14.1 9.9 2.6 0.8 0.4 0.2 0.2 0.4 1.7 7.2 15 5.94 158.8 143.7 113.9 86.7 71.4 41.2 28.3 33.9 65.7 134.5 200.4 208.8 107.28 52.6 60.2 62.1 56.9 61.6 82.5 111.3 94.7 78.4 66.2 51.5 49.9 68.99 2.8 3.8 6.2 9.8 14.4 17.9 20.6 20.6 17.3 12.5 8 4.2 11.51 13.9 13.2 13.4 13.3 11.3 8.3 5.6 6.4 7.2 10.5 13.8 14.9 10.98 79.2 77 72.5 69.5 68.2 62.9 57.5 58.3 65.7 73.7 79.6 81.6 70.48 39.5 41.1 43.6 48.6 56.4 65.6 77.3 73.9 65.8 55.2 43.5 36.4 53.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
